            it,	        volume,	           obj,	     step-size,	    num-reeval,	  succ-objdiff,	     stnrty-L2
             0,	8.99773758e-01,	1.55811573e-02,	1.00000000e+00,	             0,	           inf,	7.51879116e-02
             1,	8.58667687e-01,	1.21427690e-02,	1.00000000e+00,	             0,	3.43838836e-03,	4.90620626e-02
             2,	8.66544286e-01,	9.20007103e-03,	1.00000000e+00,	             0,	2.94269792e-03,	3.16733644e-02
             3,	8.77457350e-01,	7.50033427e-03,	1.00000000e+00,	             0,	1.69973676e-03,	2.10786802e-02
             4,	8.84050236e-01,	6.46310513e-03,	1.00000000e+00,	             0,	1.03722914e-03,	1.52121658e-02
             5,	8.87117147e-01,	5.74719299e-03,	1.00000000e+00,	             0,	7.15912135e-04,	1.18041413e-02
             6,	8.89654682e-01,	5.21589567e-03,	1.00000000e+00,	             0,	5.31297325e-04,	9.39920686e-03
             7,	8.91003492e-01,	4.81091448e-03,	1.00000000e+00,	             0,	4.04981184e-04,	7.86551381e-03
             8,	8.91895778e-01,	4.48591147e-03,	1.00000000e+00,	             0,	3.25003011e-04,	6.83266804e-03
             9,	8.92570024e-01,	4.21352583e-03,	1.00000000e+00,	             0,	2.72385639e-04,	6.06556246e-03
            10,	8.92914064e-01,	3.97689069e-03,	1.00000000e+00,	             0,	2.36635141e-04,	5.64756794e-03
            11,	8.93262213e-01,	3.76457682e-03,	1.00000000e+00,	             0,	2.12313877e-04,	5.19043409e-03
            12,	8.93959634e-01,	3.58420751e-03,	1.00000000e+00,	             0,	1.80369311e-04,	4.65664802e-03
            13,	8.94349057e-01,	3.42872904e-03,	1.00000000e+00,	             0,	1.55478466e-04,	4.32077153e-03
            14,	8.94677061e-01,	3.29135654e-03,	1.00000000e+00,	             0,	1.37372494e-04,	4.06103339e-03
            15,	8.94643230e-01,	3.16421418e-03,	1.00000000e+00,	             0,	1.27142363e-04,	4.02982801e-03
            16,	8.94275889e-01,	3.03830598e-03,	1.00000000e+00,	             0,	1.25908201e-04,	4.22135610e-03
            17,	8.93459043e-01,	2.90437452e-03,	1.00000000e+00,	             0,	1.33931460e-04,	4.71072635e-03
            18,	8.92234086e-01,	2.75345645e-03,	1.00000000e+00,	             0,	1.50918076e-04,	5.47672318e-03
            19,	8.91412015e-01,	2.59477061e-03,	1.00000000e+00,	             0,	1.58685835e-04,	5.10261965e-03
            20,	8.89371754e-01,	2.42136362e-03,	1.00000000e+00,	             0,	1.73406994e-04,	4.39394414e-03
            21,	8.86284274e-01,	2.23123464e-03,	1.00000000e+00,	             0,	1.90128974e-04,	3.65184710e-03
            22,	8.84363029e-01,	2.04146725e-03,	1.00000000e+00,	             0,	1.89767396e-04,	2.97383085e-03
            23,	8.86263055e-01,	1.88623843e-03,	1.00000000e+00,	             0,	1.55228817e-04,	2.42300355e-03
            24,	8.87107666e-01,	1.76421063e-03,	1.00000000e+00,	             0,	1.22027799e-04,	1.99827327e-03
            25,	8.88199904e-01,	1.66327383e-03,	1.00000000e+00,	             0,	1.00936803e-04,	1.71302438e-03
            26,	8.89544797e-01,	1.58050554e-03,	1.00000000e+00,	             0,	8.27682816e-05,	1.43205527e-03
            27,	8.91074799e-01,	1.51576952e-03,	1.00000000e+00,	             0,	6.47360284e-05,	1.22434072e-03
            28,	8.92531645e-01,	1.46297672e-03,	1.00000000e+00,	             0,	5.27927977e-05,	1.07619311e-03
            29,	8.94023284e-01,	1.42149269e-03,	1.00000000e+00,	             0,	4.14840314e-05,	9.39246895e-04
            30,	8.95447852e-01,	1.39035290e-03,	1.00000000e+00,	             0,	3.11397880e-05,	8.62446228e-04
            31,	8.96119983e-01,	1.36433246e-03,	1.00000000e+00,	             0,	2.60204400e-05,	8.03285179e-04
            32,	8.96740627e-01,	1.34310650e-03,	1.00000000e+00,	             0,	2.12259627e-05,	7.80819548e-04
            33,	8.97171054e-01,	1.32436244e-03,	1.00000000e+00,	             0,	1.87440522e-05,	7.36062855e-04
            34,	8.97720965e-01,	1.30966548e-03,	1.00000000e+00,	             0,	1.46969650e-05,	7.05132358e-04
            35,	8.98121277e-01,	1.29732289e-03,	1.00000000e+00,	             0,	1.23425894e-05,	6.82423502e-04
            36,	8.98464593e-01,	1.28780440e-03,	1.00000000e+00,	             0,	9.51848863e-06,	6.48841245e-04
            37,	8.98648112e-01,	1.27960854e-03,	1.00000000e+00,	             0,	8.19585788e-06,	6.33059123e-04
