,Program_AOT,KernelName,Time_AOT,Time_JIT,Speedup
0,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::Vector::operator=(double)::lambda(int)>(int,mfem::Vector::operator=(double)::lambda(int))",0.000179,0.000139,1.2877697841726619
1,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::Vector::operator=(double)::lambda(int)>(int,mfem::Vector::operator=(double)::lambda(int))",0.000179,0.00018999999999999998,0.9421052631578948
2,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::Vector::operator=(double)::lambda(int)>(int,mfem::Vector::operator=(double)::lambda(int))",0.000179,3e-06,59.666666666666664
3,BP6VectorDiffusionOrder=6,nan,0.000278,0.000277,1.003610108303249
4,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::ElementRestriction::Mult(mfem::Vectorconst&,mfem::Vector&)const::lambda(int)>(int,mfem::ElementRestriction::Mult(mfem::Vectorconst&,mfem::Vector&)const::lambda(int))",0.0005099999999999999,1.4e-05,36.42857142857142
5,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::ElementRestriction::Mult(mfem::Vectorconst&,mfem::Vector&)const::lambda(int)>(int,mfem::ElementRestriction::Mult(mfem::Vectorconst&,mfem::Vector&)const::lambda(int))",0.0005099999999999999,0.000539,0.9461966604823747
6,BP6VectorDiffusionOrder=6,"mfem::HipKernel3D<mfem::internal::quadrature_interpolator::Det3D<0,0,false>(int,const*,const*,const*,double*,int,int,mfem::Vector*)::lambda(int)>(int,mfem::internal::quadrature_interpolator::Det3D<0,0,false>(int,const*,const*,const*,double*,int,int,mfem::Vector*)::lambda(int))",0.003047,0.002865,1.0635253054101221
7,BP6VectorDiffusionOrder=6,"mfem::HipKernel2D<mfem::DLFEvalAssemble3D<0,0>(int,int,int,int,int,const*,const*,const*,const*,mfem::Vectorconst&,double*)::lambda(int)>(int,mfem::DLFEvalAssemble3D<0,0>(int,int,int,int,int,const*,const*,const*,const*,mfem::Vectorconst&,double*)::lambda(int))",0.0032029999999999997,0.002904,1.102961432506887
8,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::ElementRestriction::TAddMultTranspose<false>(mfem::Vectorconst&,mfem::Vector&)const::lambda(int)>(int,mfem::ElementRestriction::TAddMultTranspose<false>(mfem::Vectorconst&,mfem::Vector&)const::lambda(int))",0.002203,0.002206,0.9986400725294651
9,BP6VectorDiffusionOrder=6,"mfem::HipKernel3D<mfem::internal::quadrature_interpolator::Derivatives3D<(mfem::QVectorLayout)0,false,0,0,0>(int,const*,const*,const*,const*,double*,int,int,int,int)::lambda(int)>(int,mfem::internal::quadrature_interpolator::Derivatives3D<(mfem::QVectorLayout)0,false,0,0,0>(int,const*,const*,const*,const*,double*,int,int,int,int)::lambda(int))",0.002042,0.001439,1.419041000694927
10,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::PAVectorDiffusionSetup3D(int,int,mfem::Array<double>const&,mfem::Vectorconst&,mfem::Vectorconst&,mfem::Vector&)::lambda(int)>(int,mfem::PAVectorDiffusionSetup3D(int,int,mfem::Array<double>const&,mfem::Vectorconst&,mfem::Vectorconst&,mfem::Vector&)::lambda(int))",0.027267,0.027282999999999998,0.9994135542279076
11,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int)>(int,mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int))",1.6e-05,1.7e-05,0.9411764705882353
12,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int)>(int,mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int))",1.6e-05,0.00012299999999999998,0.13008130081300814
13,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int)>(int,mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int))",1.6e-05,2.4e-05,0.6666666666666666
14,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int)>(int,mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int))",0.00012299999999999998,1.7e-05,7.235294117647058
15,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int)>(int,mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int))",0.00012299999999999998,0.00012299999999999998,1.0
16,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int)>(int,mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int))",0.00012299999999999998,2.4e-05,5.124999999999999
17,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int)>(int,mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int))",2.3e-05,1.7e-05,1.3529411764705883
18,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int)>(int,mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int))",2.3e-05,0.00012299999999999998,0.1869918699186992
19,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int)>(int,mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int))",2.3e-05,2.4e-05,0.9583333333333333
20,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::ConstrainedOperator::EliminateRHS(mfem::Vectorconst&,mfem::Vector&)const::lambda(int)>(int,mfem::ConstrainedOperator::EliminateRHS(mfem::Vectorconst&,mfem::Vector&)const::lambda(int))",2.9999999999999997e-05,2.9e-05,1.0344827586206895
21,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::ConstrainedOperator::EliminateRHS(mfem::Vectorconst&,mfem::Vector&)const::lambda(int)>(int,mfem::ConstrainedOperator::EliminateRHS(mfem::Vectorconst&,mfem::Vector&)const::lambda(int))",2.9999999999999997e-05,2.4e-05,1.2499999999999998
22,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::ConstrainedOperator::EliminateRHS(mfem::Vectorconst&,mfem::Vector&)const::lambda(int)>(int,mfem::ConstrainedOperator::EliminateRHS(mfem::Vectorconst&,mfem::Vector&)const::lambda(int))",2.4e-05,2.9e-05,0.8275862068965517
23,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::ConstrainedOperator::EliminateRHS(mfem::Vectorconst&,mfem::Vector&)const::lambda(int)>(int,mfem::ConstrainedOperator::EliminateRHS(mfem::Vectorconst&,mfem::Vector&)const::lambda(int))",2.4e-05,2.4e-05,1.0
24,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::internal::PAVectorDiffusionApply3D<0,0>(int,mfem::Array<double>const&,mfem::Array<double>const&,mfem::Array<double>const&,mfem::Array<double>const&,mfem::Vectorconst&,mfem::Vectorconst&,mfem::Vector&,int,int,int)::lambda(int)>(int,mfem::internal::PAVectorDiffusionApply3D<0,0>(int,mfem::Array<double>const&,mfem::Array<double>const&,mfem::Array<double>const&,mfem::Array<double>const&,mfem::Vectorconst&,mfem::Vectorconst&,mfem::Vector&,int,int,int)::lambda(int))",0.171098,0.091891,1.861966895561045
25,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::Vector::operator-=(mfem::Vectorconst&)::lambda(int)>(int,mfem::Vector::operator-=(mfem::Vectorconst&)::lambda(int))",0.00039799999999999997,0.000396,1.005050505050505
26,BP6VectorDiffusionOrder=6,"mfem::HipKernel2D<mfem::internal::reduction_kernel<mfem::Vector::operator*(mfem::Vectorconst&)const::lambda()::operator()()const::lambda(int,double&),mfem::SumReducer<double>>>(int,mfem::internal::reduction_kernel<mfem::Vector::operator*(mfem::Vectorconst&)const::lambda()::operator()()const::lambda(int,double&),mfem::SumReducer<double>>)",0.000468,0.00046499999999999997,1.006451612903226
27,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::ConstrainedOperator::ConstrainedMult(mfem::Vectorconst&,mfem::Vector&,bool)const::lambda(int)>(int,mfem::ConstrainedOperator::ConstrainedMult(mfem::Vectorconst&,mfem::Vector&,bool)const::lambda(int))",1.3e-05,1.3e-05,1.0
28,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::ConstrainedOperator::ConstrainedMult(mfem::Vectorconst&,mfem::Vector&,bool)const::lambda(int)>(int,mfem::ConstrainedOperator::ConstrainedMult(mfem::Vectorconst&,mfem::Vector&,bool)const::lambda(int))",1.3e-05,2.4999999999999998e-05,0.52
29,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::ConstrainedOperator::ConstrainedMult(mfem::Vectorconst&,mfem::Vector&,bool)const::lambda(int)>(int,mfem::ConstrainedOperator::ConstrainedMult(mfem::Vectorconst&,mfem::Vector&,bool)const::lambda(int))",2.4999999999999998e-05,1.3e-05,1.9230769230769231
30,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::ConstrainedOperator::ConstrainedMult(mfem::Vectorconst&,mfem::Vector&,bool)const::lambda(int)>(int,mfem::ConstrainedOperator::ConstrainedMult(mfem::Vectorconst&,mfem::Vector&,bool)const::lambda(int))",2.4999999999999998e-05,2.4999999999999998e-05,1.0
31,BP6VectorDiffusionOrder=6,"mfem::HipKernel1D<mfem::add(mfem::Vectorconst&,double,mfem::Vectorconst&,mfem::Vector&)::lambda(int)>(int,mfem::add(mfem::Vectorconst&,double,mfem::Vectorconst&,mfem::Vector&)::lambda(int))",0.000392,0.000392,1.0
